127.0.0.1 - - [30/Jan/2018:18:43:48 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:55:07 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:55:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13054
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:56:39 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 200 231473
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:57:19 +0530] "GET /MatchFinder/index.html HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:10 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:34 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:34 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:34 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:42 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:43 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:48 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:49 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [30/Jan/2018:18:58:54 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:34 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:36 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:43:39 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:21 +0530] "GET /MatchFinder/ HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:21 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:21 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:21 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:22 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 200 231473
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:28 +0530] "GET /MatchFinder/ HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:41 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:44:44 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 500 2705
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:45:36 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:46:54 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:02 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:02 +0530] "GET /MatchFinder/login/css/style.css HTTP/1.1" 200 9758
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:02 +0530] "GET /MatchFinder/login/js/index.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:03 +0530] "GET /MatchFinder/login/bg1.jpg HTTP/1.1" 200 78170
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:14 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:14 +0530] "GET /MatchFinder/login/css/style.css HTTP/1.1" 200 9758
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:14 +0530] "GET /MatchFinder/login/js/index.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:14 +0530] "GET /MatchFinder/login/bg1.jpg HTTP/1.1" 200 78170
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:29 +0530] "GET /MatchFinder/login/forget.jsp HTTP/1.1" 200 5607
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:53:33 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:54:27 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:54:45 +0530] "GET /MatchFinder/login/forget.jsp HTTP/1.1" 200 5357
0:0:0:0:0:0:0:1 - - [30/Jan/2018:21:54:55 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/bridegroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/33_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/rings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/44_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/11__11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:18:59 +0530] "GET /MatchFinder/pic/agent8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:27 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:29 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:34 +0530] "GET /MatchFinder/contact.jsp HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:41 +0530] "GET /MatchFinder/index.jsp HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:44 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:44 +0530] "GET /MatchFinder/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:44 +0530] "GET /MatchFinder/login/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:44 +0530] "GET /MatchFinder/login/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:22:58 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:23:12 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:25:56 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:31:01 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:31:01 +0530] "GET /MatchFinder/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:31:01 +0530] "GET /MatchFinder/login/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:31:01 +0530] "GET /MatchFinder/login/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/login/login.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/login/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/pic/logos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:22:41:55 +0530] "GET /MatchFinder/login/bg1.jpg HTTP/1.1" 304 -
